Category: All categories

Region,corn: (1/1/04 - 6/14/23)
South Dakota,100
Iowa,95
Nebraska,86
North Dakota,71
Missouri,70
Minnesota,66
Wisconsin,63
Vermont,60
Idaho,59
Indiana,58
Montana,58
Kansas,58
Kentucky,57
Maine,55
Tennessee,55
Mississippi,55
Ohio,55
New Hampshire,54
Utah,54
Illinois,54
Wyoming,53
Arkansas,53
Michigan,52
Oklahoma,51
Alabama,50
Pennsylvania,49
South Carolina,49
New Mexico,48
Louisiana,48
Washington,47
West Virginia,47
Oregon,46
Colorado,46
Delaware,45
Georgia,44
Massachusetts,43
Maryland,43
Arizona,43
Alaska,43
North Carolina,43
Connecticut,43
Rhode Island,42
Texas,42
Hawaii,40
Virginia,40
Nevada,39
Florida,39
New Jersey,39
New York,37
District of Columbia,37
California,34
