Category: All categories

Month,corn: (United States)
2004-01,25
2004-02,22
2004-03,26
2004-04,27
2004-05,28
2004-06,28
2004-07,35
2004-08,38
2004-09,36
2004-10,51
2004-11,35
2004-12,26
2005-01,24
2005-02,24
2005-03,27
2005-04,27
2005-05,31
2005-06,31
2005-07,37
2005-08,36
2005-09,38
2005-10,51
2005-11,38
2005-12,32
2006-01,26
2006-02,27
2006-03,29
2006-04,29
2006-05,34
2006-06,32
2006-07,39
2006-08,40
2006-09,41
2006-10,59
2006-11,41
2006-12,28
2007-01,25
2007-02,25
2007-03,26
2007-04,28
2007-05,36
2007-06,35
2007-07,44
2007-08,40
2007-09,45
2007-10,59
2007-11,44
2007-12,32
2008-01,28
2008-02,26
2008-03,33
2008-04,34
2008-05,41
2008-06,43
2008-07,44
2008-08,46
2008-09,45
2008-10,65
2008-11,44
2008-12,35
2009-01,31
2009-02,30
2009-03,34
2009-04,31
2009-05,41
2009-06,38
2009-07,46
2009-08,48
2009-09,47
2009-10,60
2009-11,44
2009-12,31
2010-01,30
2010-02,30
2010-03,34
2010-04,32
2010-05,42
2010-06,43
2010-07,50
2010-08,48
2010-09,49
2010-10,65
2010-11,45
2010-12,34
2011-01,34
2011-02,35
2011-03,38
2011-04,41
2011-05,49
2011-06,48
2011-07,61
2011-08,59
2011-09,61
2011-10,78
2011-11,57
2011-12,43
2012-01,39
2012-02,36
2012-03,40
2012-04,44
2012-05,54
2012-06,55
2012-07,71
2012-08,61
2012-09,61
2012-10,76
2012-11,57
2012-12,41
2013-01,37
2013-02,36
2013-03,45
2013-04,40
2013-05,54
2013-06,57
2013-07,71
2013-08,65
2013-09,64
2013-10,75
2013-11,57
2013-12,42
2014-01,38
2014-02,36
2014-03,45
2014-04,43
2014-05,56
2014-06,56
2014-07,75
2014-08,67
2014-09,61
2014-10,74
2014-11,62
2014-12,42
2015-01,38
2015-02,35
2015-03,41
2015-04,46
2015-05,60
2015-06,63
2015-07,76
2015-08,75
2015-09,65
2015-10,77
2015-11,61
2015-12,44
2016-01,41
2016-02,41
2016-03,45
2016-04,48
2016-05,67
2016-06,67
2016-07,77
2016-08,66
2016-09,64
2016-10,82
2016-11,60
2016-12,47
2017-01,41
2017-02,41
2017-03,48
2017-04,49
2017-05,58
2017-06,66
2017-07,78
2017-08,71
2017-09,66
2017-10,84
2017-11,66
2017-12,53
2018-01,45
2018-02,43
2018-03,50
2018-04,52
2018-05,63
2018-06,63
2018-07,84
2018-08,71
2018-09,68
2018-10,79
2018-11,66
2018-12,51
2019-01,46
2019-02,47
2019-03,53
2019-04,52
2019-05,64
2019-06,71
2019-07,78
2019-08,86
2019-09,72
2019-10,80
2019-11,66
2019-12,51
2020-01,47
2020-02,45
2020-03,50
2020-04,71
2020-05,79
2020-06,71
2020-07,84
2020-08,87
2020-09,81
2020-10,88
2020-11,72
2020-12,55
2021-01,49
2021-02,47
2021-03,53
2021-04,57
2021-05,71
2021-06,78
2021-07,85
2021-08,85
2021-09,75
2021-10,84
2021-11,73
2021-12,52
2022-01,54
2022-02,54
2022-03,57
2022-04,60
2022-05,74
2022-06,73
2022-07,94
2022-08,97
2022-09,100
2022-10,100
2022-11,79
2022-12,63
2023-01,57
2023-02,57
2023-03,65
2023-04,67
2023-05,77
2023-06,78
