Category: All categories

Month,corn: (United States),taylor swift: (United States)
2004-01,18,<1
2004-02,16,0
2004-03,18,0
2004-04,19,0
2004-05,20,<1
2004-06,20,0
2004-07,25,<1
2004-08,27,0
2004-09,25,0
2004-10,36,0
2004-11,25,<1
2004-12,18,<1
2005-01,17,0
2005-02,17,0
2005-03,19,0
2005-04,19,0
2005-05,22,<1
2005-06,22,0
2005-07,26,<1
2005-08,26,0
2005-09,27,<1
2005-10,36,<1
2005-11,27,0
2005-12,22,<1
2006-01,19,<1
2006-02,19,<1
2006-03,20,0
2006-04,20,<1
2006-05,24,<1
2006-06,23,<1
2006-07,28,1
2006-08,28,2
2006-09,29,3
2006-10,42,5
2006-11,29,7
2006-12,20,6
2007-01,18,6
2007-02,17,7
2007-03,18,6
2007-04,20,8
2007-05,25,9
2007-06,25,8
2007-07,31,9
2007-08,29,7
2007-09,32,7
2007-10,42,8
2007-11,31,14
2007-12,23,13
2008-01,20,13
2008-02,18,13
2008-03,23,12
2008-04,24,13
2008-05,29,15
2008-06,31,11
2008-07,32,11
2008-08,33,12
2008-09,32,23
2008-10,46,23
2008-11,31,51
2008-12,25,36
2009-01,22,33
2009-02,22,36
2009-03,24,31
2009-04,22,27
2009-05,29,30
2009-06,27,33
2009-07,33,29
2009-08,34,29
2009-09,34,98
2009-10,43,43
2009-11,31,67
2009-12,22,50
2010-01,22,39
2010-02,21,44
2010-03,24,27
2010-04,23,26
2010-05,30,24
2010-06,30,21
2010-07,35,17
2010-08,34,29
2010-09,35,35
2010-10,46,57
2010-11,32,62
2010-12,24,48
2011-01,24,42
2011-02,25,36
2011-03,27,25
2011-04,29,29
2011-05,35,28
2011-06,34,30
2011-07,43,26
2011-08,42,34
2011-09,43,25
2011-10,56,30
2011-11,40,41
2011-12,31,34
2012-01,27,28
2012-02,25,35
2012-03,29,30
2012-04,31,28
2012-05,38,22
2012-06,39,22
2012-07,50,20
2012-08,43,38
2012-09,43,41
2012-10,54,73
2012-11,40,61
2012-12,29,68
2013-01,26,61
2013-02,26,50
2013-03,32,43
2013-04,29,36
2013-05,38,36
2013-06,41,34
2013-07,50,33
2013-08,46,39
2013-09,45,24
2013-10,53,19
2013-11,41,28
2013-12,30,25
2014-01,27,29
2014-02,26,21
2014-03,32,17
2014-04,31,16
2014-05,40,15
2014-06,40,14
2014-07,53,14
2014-08,48,41
2014-09,43,31
2014-10,53,48
2014-11,44,88
2014-12,29,64
2015-01,27,59
2015-02,25,53
2015-03,29,38
2015-04,32,37
2015-05,43,52
2015-06,44,47
2015-07,54,54
2015-08,53,46
2015-09,46,44
2015-10,55,40
2015-11,43,31
2015-12,32,30
2016-01,29,26
2016-02,29,48
2016-03,32,24
2016-04,34,29
2016-05,47,23
2016-06,48,42
2016-07,55,56
2016-08,47,23
2016-09,45,21
2016-10,58,19
2016-11,43,22
2016-12,33,19
2017-01,29,17
2017-02,29,16
2017-03,34,12
2017-04,35,12
2017-05,41,14
2017-06,47,15
2017-07,55,12
2017-08,50,63
2017-09,47,31
2017-10,60,24
2017-11,47,46
2017-12,38,31
2018-01,32,18
2018-02,31,13
2018-03,35,15
2018-04,37,15
2018-05,45,24
2018-06,45,17
2018-07,60,25
2018-08,50,19
2018-09,49,16
2018-10,56,20
2018-11,47,11
2018-12,36,12
2019-01,32,16
2019-02,33,11
2019-03,38,11
2019-04,37,23
2019-05,45,20
2019-06,50,22
2019-07,56,22
2019-08,61,36
2019-09,51,20
2019-10,57,18
2019-11,47,25
2019-12,36,18
2020-01,33,15
2020-02,32,23
2020-03,36,14
2020-04,50,12
2020-05,56,14
2020-06,50,9
2020-07,59,29
2020-08,62,19
2020-09,57,14
2020-10,62,12
2020-11,51,14
2020-12,39,28
2021-01,35,14
2021-02,33,17
2021-03,38,19
2021-04,41,20
2021-05,50,13
2021-06,55,13
2021-07,60,12
2021-08,60,13
2021-09,53,12
2021-10,60,13
2021-11,52,54
2021-12,37,21
2022-01,38,19
2022-02,38,18
2022-03,40,14
2022-04,43,18
2022-05,53,22
2022-06,52,14
2022-07,67,16
2022-08,69,20
2022-09,71,20
2022-10,71,51
2022-11,56,100
2022-12,44,32
2023-01,41,28
2023-02,40,32
2023-03,46,57
2023-04,48,79
2023-05,55,99
2023-06,56,95
